time,station,cglo,cglo_flag,dd,dd_flag,ddx,ddx_flag,ff,ff_flag,ffx,ffx_flag,p,p_flag,pred,pred_flag,rf,rf_flag,rr,rr_flag,rrm,rrm_flag,sh,sh_flag,so_h,so_h_flag,tb10,tb100,tb100_flag,tb10_flag,tb20,tb200,tb200_flag,tb20_flag,tb50,tb50_flag,tl,tl_flag,tsmin,tsmin_flag,zeitx,zeitx_flag
2008-01-01T00:00+00:00,5925,0,0,289,10,247,10,2.8,10,5.8,10,1003.3,10,,,85,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,2.5,10,,,4,10
2008-01-01T01:00+00:00,5925,0,0,305,10,305,10,3.4,10,8.8,10,1003.3,10,,,87,10,0.0,10,10,10,,,0.0,10,,,,,,,,,,,2.1,10,,,132,10
2008-01-01T02:00+00:00,5925,0,0,313,10,290,10,3.0,10,8.0,10,1003.2,10,,,93,10,0.5,10,59,10,,,0.0,10,,,,,,,,,,,1.5,10,,,205,10
2008-01-01T03:00+00:00,5925,0,0,308,10,303,10,2.7,10,7.2,10,1002.7,10,,,92,10,0.1,10,48,10,,,0.0,10,,,,,,,,,,,1.6,10,,,307,10
2008-01-01T04:00+00:00,5925,0,0,320,10,319,10,2.3,10,6.4,10,1002.5,10,,,94,10,0.7,10,42,10,,,0.0,10,,,,,,,,,,,1.3,10,,,419,10
2008-01-01T05:00+00:00,5925,0,0,301,10,300,10,2.2,10,5.3,10,1002.5,10,,,89,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.9,10,,,536,10
2008-01-01T06:00+00:00,5925,0,0,312,10,331,10,3.0,10,7.7,10,1002.4,10,,,88,10,0.0,10,14,10,,,0.0,10,,,,,,,,,,,2.0,10,,,647,10
2008-01-01T07:00+00:00,5925,0,0,320,10,334,10,2.8,10,7.4,10,1002.5,10,,,88,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.9,10,,,702,10
2008-01-01T08:00+00:00,5925,23,0,318,10,317,10,2.9,10,6.2,10,1002.7,10,,,87,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,2.0,10,,,810,10
2008-01-01T09:00+00:00,5925,53,0,321,10,329,10,3.0,10,6.7,10,1003.0,10,,,85,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,2.1,10,,,903,10
2008-01-01T10:00+00:00,5925,134,0,316,10,294,10,2.7,10,6.8,10,1002.7,10,,,83,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,2.3,10,,,1025,10
2008-01-01T11:00+00:00,5925,121,0,324,10,329,10,3.5,10,7.8,10,1002.5,10,,,82,10,0.0,10,7,10,,,0.0,10,,,,,,,,,,,2.1,10,,,1117,10
2008-01-01T12:00+00:00,5925,78,0,324,10,308,10,3.5,10,7.6,10,1002.4,10,,,80,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,2.3,10,,,1208,10
2008-01-01T13:00+00:00,5925,107,0,327,10,324,10,3.5,10,7.3,10,1002.3,10,,,79,10,0.0,10,0,10,,,0.1,10,,,,,,,,,,,1.9,10,,,1312,10
2008-01-01T14:00+00:00,5925,125,0,321,10,326,10,3.7,10,7.1,10,1002.4,10,,,79,10,0.0,10,0,10,,,0.6,10,,,,,,,,,,,1.9,10,,,1425,10
2008-01-01T15:00+00:00,5925,24,0,322,10,324,10,3.4,10,7.1,10,1002.5,10,,,78,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.9,10,,,1538,10
2008-01-01T16:00+00:00,5925,1,0,325,10,327,10,3.3,10,7.8,10,1002.7,10,,,79,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.8,10,,,1602,10
2008-01-01T17:00+00:00,5925,0,0,323,10,315,10,3.3,10,6.9,10,1002.9,10,,,80,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.8,10,,,1747,10
2008-01-01T18:00+00:00,5925,0,0,324,10,309,10,3.1,10,6.1,10,1002.9,10,,,81,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.6,10,,,1808,10
2008-01-01T19:00+00:00,5925,0,0,326,10,325,10,2.5,10,5.1,10,1003.1,10,,,82,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.5,10,,,1920,10
2008-01-01T20:00+00:00,5925,0,0,341,10,322,10,1.8,10,4.9,10,1003.2,10,,,85,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,1.1,10,,,2040,10
2008-01-01T21:00+00:00,5925,0,0,329,10,326,10,2.5,10,6.7,10,1003.1,10,,,84,10,0.0,10,0,10,,,0.0,10,,,,,,,,,,,0.9,10,,,2134,10
