id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt,station_id,name
105,,Wien Hohe Warte,16.35639,48.24861,198.0,1872-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,ja,105,105
106,,Wien Mariabrunn,16.22944,48.20694,225.0,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,ja,106,106
107,,Wien Unterlaa,16.41944,48.125,200.0,1963-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,ja,107,107
4102,,Wien Kahlenberg,16.333334,48.266666,481.0,1951-01-01 00:00:00+00:00,1980-12-31 23:00:00+00:00,Wien,True,False,,,,,nein,4102,4102
4115,11042.0,Wien Stammersdorf,16.40556,48.30581,190.7,2008-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein,4115,4115
5802,11044.0,Wien Jubliäumswarte,16.26528,48.22111,450.0,1988-06-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein,5802,5802
5804,,Wien Mariabrunn,16.233334,48.200001,226.0,1951-01-01 00:00:00+00:00,1983-12-31 23:00:00+00:00,Wien,False,False,,106.0,1936-01-01 00:00:00+00:00,1994-09-30 23:59:59+00:00,nein,5804,5804
5805,11080.0,Wien Mariabrunn,16.22944,48.20694,225.0,1997-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,106.0,1997-01-16 00:00:00+00:00,,nein,5805,5805
5901,,Wien Hohe Warte,16.35639,48.24861,203.0,1880-04-01 00:00:00+00:00,2014-11-30 23:00:00+00:00,Wien,True,False,,105.0,1872-05-01 00:00:00+00:00,1992-12-31 23:59:59+00:00,nein,5901,5901
5904,11033.0,Wien Hohe Warte,16.35639,48.24861,198.0,1991-03-28 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,105.0,1993-01-01 00:00:00+00:00,,nein,5904,5904
5916,,Wien Unterlaa,16.422777,48.127499,200.0,1967-06-01 00:00:00+00:00,1995-12-31 23:00:00+00:00,Wien,False,False,,107.0,1963-10-01 00:00:00+00:00,1995-12-31 23:59:59+00:00,nein,5916,5916
5917,11040.0,Wien Unterlaa,16.41944,48.125,200.0,1996-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,107.0,1996-01-01 00:00:00+00:00,,nein,5917,5917
5925,11034.0,Wien Innere Stadt,16.36694,48.19833,177.0,1984-12-19 12:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein,5925,5925
5935,11090.0,Wien Donaufeld,16.43139,48.25722,160.0,1996-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein,5935,5935
5963,,Wien Hohe Warte Hannhütte,16.355833,48.248611,198.0,1941-01-01 00:00:00+00:00,1987-01-31 23:00:00+00:00,Wien,False,False,,,,,nein,5963,5963
