time,station,tl_mittel,p_mittel,vv_mittel,rf_mittel,so_h,substation
2005-01-01T00:00+00:00,105,5.2,998.6,5.9,82.0,0.7,5904
2005-01-01T00:00+00:00,106,5.0,996.8,3.8,83.0,0.0,5805
2005-01-01T00:00+00:00,107,5.8,1000.1,6.7,81.0,1.1,5917
2005-01-01T00:00+00:00,4102,,,,,,
2005-01-01T00:00+00:00,4115,,,,,,
2005-01-01T00:00+00:00,4120,,,,,,
2005-01-01T00:00+00:00,5802,,,,,,
2005-01-01T00:00+00:00,5804,,,,,,
2005-01-01T00:00+00:00,5805,5.0,996.8,3.8,83.0,0.0,
2005-01-01T00:00+00:00,5808,,,,,,
2005-01-01T00:00+00:00,5901,,,,,,
2005-01-01T00:00+00:00,5902,,,,,,
2005-01-01T00:00+00:00,5904,5.2,998.6,5.9,82.0,0.7,
2005-01-01T00:00+00:00,5905,,,,,,
2005-01-01T00:00+00:00,5916,,,,,,
2005-01-01T00:00+00:00,5917,5.8,1000.1,6.7,81.0,1.1,
2005-01-01T00:00+00:00,5925,6.3,1003.8,5.9,81.0,0.9,
2005-01-01T00:00+00:00,5935,6.3,1004.7,3.8,78.0,0.1,
2005-01-01T00:00+00:00,5963,,,,,,
2005-01-01T00:00+00:00,5965,,,,,,
2005-01-02T00:00+00:00,105,6.7,993.2,3.2,76.0,1.1,5904
2005-01-02T00:00+00:00,106,5.8,991.3,2.6,84.0,1.4,5805
2005-01-02T00:00+00:00,107,6.5,995.0,3.8,81.0,1.5,5917
2005-01-02T00:00+00:00,4102,,,,,,
2005-01-02T00:00+00:00,4115,,,,,,
2005-01-02T00:00+00:00,4120,,,,,,
2005-01-02T00:00+00:00,5802,,,,,,
2005-01-02T00:00+00:00,5804,,,,,,
2005-01-02T00:00+00:00,5805,5.8,991.3,2.6,84.0,1.4,
2005-01-02T00:00+00:00,5808,,,,,,
2005-01-02T00:00+00:00,5901,,,,,,
2005-01-02T00:00+00:00,5902,,,,,,
2005-01-02T00:00+00:00,5904,6.7,993.2,3.2,76.0,1.1,
2005-01-02T00:00+00:00,5905,,,,,,
2005-01-02T00:00+00:00,5916,,,,,,
2005-01-02T00:00+00:00,5917,6.5,995.0,3.8,81.0,1.5,
2005-01-02T00:00+00:00,5925,7.8,998.4,3.2,75.0,1.3,
2005-01-02T00:00+00:00,5935,7.4,999.2,3.2,72.0,0.9,
2005-01-02T00:00+00:00,5963,,,,,,
2005-01-02T00:00+00:00,5965,,,,,,
2005-01-03T00:00+00:00,105,3.8,1000.4,7.5,73.0,3.2,5904
2005-01-03T00:00+00:00,106,4.0,998.6,5.9,71.0,2.8,5805
2005-01-03T00:00+00:00,107,4.4,1001.8,10.2,69.0,4.4,5917
2005-01-03T00:00+00:00,4102,,,,,,
2005-01-03T00:00+00:00,4115,,,,,,
2005-01-03T00:00+00:00,4120,,,,,,
2005-01-03T00:00+00:00,5802,,,,,,
2005-01-03T00:00+00:00,5804,,,,,,
2005-01-03T00:00+00:00,5805,4.0,998.6,5.9,71.0,2.8,
2005-01-03T00:00+00:00,5808,,,,,,
2005-01-03T00:00+00:00,5901,,,,,,
2005-01-03T00:00+00:00,5902,,,,,,
2005-01-03T00:00+00:00,5904,3.8,1000.4,7.5,73.0,3.2,
2005-01-03T00:00+00:00,5905,,,,,,
2005-01-03T00:00+00:00,5916,,,,,,
2005-01-03T00:00+00:00,5917,4.4,1001.8,10.2,69.0,4.4,
2005-01-03T00:00+00:00,5925,4.7,1005.5,7.5,73.0,3.4,
2005-01-03T00:00+00:00,5935,4.8,1006.5,5.2,69.0,3.1,
2005-01-03T00:00+00:00,5963,,,,,,
2005-01-03T00:00+00:00,5965,,,,,,
2005-01-04T00:00+00:00,105,5.9,998.1,10.2,66.0,0.1,5904
2005-01-04T00:00+00:00,106,5.8,996.3,7.5,64.0,0.1,5805
2005-01-04T00:00+00:00,107,6.3,999.5,10.2,61.0,0.5,5917
2005-01-04T00:00+00:00,4102,,,,,,
2005-01-04T00:00+00:00,4115,,,,,,
2005-01-04T00:00+00:00,4120,,,,,,
2005-01-04T00:00+00:00,5802,,,,,,
2005-01-04T00:00+00:00,5804,,,,,,
2005-01-04T00:00+00:00,5805,5.8,996.3,7.5,64.0,0.1,
2005-01-04T00:00+00:00,5808,,,,,,
2005-01-04T00:00+00:00,5901,,,,,,
2005-01-04T00:00+00:00,5902,,,,,,
2005-01-04T00:00+00:00,5904,5.9,998.1,10.2,66.0,0.1,
2005-01-04T00:00+00:00,5905,,,,,,
2005-01-04T00:00+00:00,5916,,,,,,
2005-01-04T00:00+00:00,5917,6.3,999.5,10.2,61.0,0.5,
2005-01-04T00:00+00:00,5925,6.7,1003.1,9.2,65.0,0.6,
2005-01-04T00:00+00:00,5935,6.8,1004.3,5.2,64.0,0.2,
2005-01-04T00:00+00:00,5963,,,,,,
2005-01-04T00:00+00:00,5965,,,,,,
2005-01-05T00:00+00:00,105,7.0,1001.6,6.7,52.0,0.6,5904
2005-01-05T00:00+00:00,106,7.3,999.6,5.2,47.0,1.1,5805
2005-01-05T00:00+00:00,107,8.5,1003.0,7.5,43.0,1.9,5917
2005-01-05T00:00+00:00,4102,,,,,,
2005-01-05T00:00+00:00,4115,,,,,,
2005-01-05T00:00+00:00,4120,,,,,,
2005-01-05T00:00+00:00,5802,,,,,,
2005-01-05T00:00+00:00,5804,,,,,,
2005-01-05T00:00+00:00,5805,7.3,999.6,5.2,47.0,1.1,
2005-01-05T00:00+00:00,5808,,,,,,
2005-01-05T00:00+00:00,5901,,,,,,
2005-01-05T00:00+00:00,5902,,,,,,
2005-01-05T00:00+00:00,5904,7.0,1001.6,6.7,52.0,0.6,
2005-01-05T00:00+00:00,5905,,,,,,
2005-01-05T00:00+00:00,5916,,,,,,
2005-01-05T00:00+00:00,5917,8.5,1003.0,7.5,43.0,1.9,
2005-01-05T00:00+00:00,5925,8.6,1006.6,5.9,49.0,1.0,
2005-01-05T00:00+00:00,5935,7.8,1007.6,3.8,52.0,0.3,
2005-01-05T00:00+00:00,5963,,,,,,
2005-01-05T00:00+00:00,5965,,,,,,
2005-01-06T00:00+00:00,105,8.1,1000.8,6.7,71.0,2.4,5904
2005-01-06T00:00+00:00,106,7.8,999.0,3.8,75.0,2.1,5805
2005-01-06T00:00+00:00,107,8.2,1002.7,3.8,76.0,2.6,5917
2005-01-06T00:00+00:00,4102,,,,,,
2005-01-06T00:00+00:00,4115,,,,,,
2005-01-06T00:00+00:00,4120,,,,,,
2005-01-06T00:00+00:00,5802,,,,,,
2005-01-06T00:00+00:00,5804,,,,,,
2005-01-06T00:00+00:00,5805,7.8,999.0,3.8,75.0,2.1,
2005-01-06T00:00+00:00,5808,,,,,,
