Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit,Codelist
bewd_i,Bewölkungsdichte zum Beobachtungstermin I,Bewölkungsdichte zum Beobachtungstermin I (06 UTC),code,"[{'key': 0, 'value': 'gering'}, {'key': 1, 'value': 'mittel'}, {'key': 2, 'value': 'hoch'}, {'key': 9, 'value': 'keine Angabe'}]"
bewd_i_flag,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin I,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin I (06 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
bewd_ii,Bewölkungsdichte zum Beobachtungstermin II,Bewölkungsdichte zum Beobachtungstermin II (13 UTC),code,"[{'key': 0, 'value': 'gering'}, {'key': 1, 'value': 'mittel'}, {'key': 2, 'value': 'hoch'}, {'key': 9, 'value': 'keine Angabe'}]"
bewd_ii_flag,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin II,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin II (13 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
bewd_iii,Bewölkungsdichte zum Beobachtungstermin III,"Bewölkungsdichte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': 0, 'value': 'gering'}, {'key': 1, 'value': 'mittel'}, {'key': 2, 'value': 'hoch'}, {'key': 9, 'value': 'keine Angabe'}]"
bewd_iii_flag,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin III,"Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
bewm_i,Bewölkungsmenge zum Beobachtungstermin I,Bewölkungsmenge zum Beobachtungstermin I (06 UTC),1/10,"[{'key': 0, 'value': 'wolkenlos'}, {'key': 1, 'value': '1/10 bedeckt'}, {'key': 10, 'value': 'bedeckt'}, {'key': 2, 'value': '2/10 bedeckt'}, {'key': 3, 'value': '3/10 bedeckt'}, {'key': 4, 'value': '4/10 bedeckt'}, {'key': 5, 'value': '5/10 bedeckt'}, {'key': 6, 'value': '6/10 bedeckt'}, {'key': 7, 'value': '7/10 bedeckt'}, {'key': 8, 'value': '8/10 bedeckt'}, {'key': 9, 'value': '9/10 bedeckt'}, {'key': 99, 'value': 'keine Angabe'}]"
bewm_i_flag,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin I,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin I (06 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
bewm_ii,Bewölkungsmenge zum Beobachtungstermin II,Bewölkungsmenge zum Beobachtungstermin II (13 UTC),1/10,"[{'key': 0, 'value': 'wolkenlos'}, {'key': 1, 'value': '1/10 bedeckt'}, {'key': 10, 'value': 'bedeckt'}, {'key': 2, 'value': '2/10 bedeckt'}, {'key': 3, 'value': '3/10 bedeckt'}, {'key': 4, 'value': '4/10 bedeckt'}, {'key': 5, 'value': '5/10 bedeckt'}, {'key': 6, 'value': '6/10 bedeckt'}, {'key': 7, 'value': '7/10 bedeckt'}, {'key': 8, 'value': '8/10 bedeckt'}, {'key': 9, 'value': '9/10 bedeckt'}, {'key': 99, 'value': 'keine Angabe'}]"
bewm_ii_flag,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin II,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin II (13 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
bewm_iii,Bewölkungsmenge zum Beobachtungstermin III,"Bewölkungsmenge zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",1/10,"[{'key': 0, 'value': 'wolkenlos'}, {'key': 1, 'value': '1/10 bedeckt'}, {'key': 10, 'value': 'bedeckt'}, {'key': 2, 'value': '2/10 bedeckt'}, {'key': 3, 'value': '3/10 bedeckt'}, {'key': 4, 'value': '4/10 bedeckt'}, {'key': 5, 'value': '5/10 bedeckt'}, {'key': 6, 'value': '6/10 bedeckt'}, {'key': 7, 'value': '7/10 bedeckt'}, {'key': 8, 'value': '8/10 bedeckt'}, {'key': 9, 'value': '9/10 bedeckt'}, {'key': 99, 'value': 'keine Angabe'}]"
bewm_iii_flag,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin III,"Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
bewm_mittel,Bewölkungsmenge Mittelwert,"Bewölkungsmenge, Tagesmittelwert berechnet aus den Beobachtungsterminen I,II,III (06,13,18 UTC) * 10",1/100,
